original_english,translated_hindi,original_rephrase
don’t make me rewatch panic 🤨,मुझे फिर से घबराहट देखने मत दो,“I’m going to rewatch panic on amazon”
pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min,इसे आगे भुगतान करने के लिए ईमानदारी से सबसे खराब फिल्मों में से एक है मैंने कभी देखा है क्यों किसी को इतना दुखद अंत करना चाहिए मैं 30 मिनट के लिए रो रहा हूँ,The ending to Pay It Forward made me extremely sad and I’m not happy about it. 
"hello to all three of my followers, this is my big return to twitter","मेरे तीनों अनुयायियों को नमस्कार, यह ट्विटर पर मेरी बड़ी वापसी है",I'm posting on Twitter again.
we used to make fun of rich men for using 3in1 turns out they were never using anything at all 🤮,हम अमीर पुरुषों के साथ मजाक करने के लिए इस्तेमाल किया 3in1 पता चला है कि वे कभी भी कुछ भी उपयोग नहीं कर रहे थे ,it's really funny how rich people think that they aren't held to the same personal hygeine standards as normal people
Thanks @myhermes for losing my parcel but giving me someone else's. I'm nice enough to go give it to them though. Please DM me back soon 😐,धन्यवाद @myhermes मेरे पैकेज को खोने के लिए लेकिन मुझे किसी और का देने के लिए। मैं उन्हें देने के लिए पर्याप्त अच्छा हूँ हालांकि. कृपया मुझे जल्द ही वापस भेजें 😐,I am unhappy that you have lost my parcel
Anyone need a body for a human sacrifice? Trying to find a valid excuse to not go to work today.,किसी को एक मानव बलिदान के लिए एक शरीर की जरूरत है? आज काम पर नहीं जाने के लिए एक वैध बहाना खोजने की कोशिश कर रहा है।,I need a valid excuse to call-out today. 
"@inkofreality @StrangerTings1 @nytimes You're so close to understanding baseline biasing. You can get there, I believe in you!","@inkofreality @StrangerTings1 @nytimes आप बेसलाइन पूर्वाग्रह को समझने के इतने करीब हैं। आप वहां पहुंच सकते हैं, मैं आप में विश्वास करता हूं!","This is simply an example of baseline biasing, i.e. if 90% of people are vaxxed and vaxxed make up 30% of hospitalizations, still implies extremely effective."
Mine and @livlawrencex snapchats are just stunning👌,मेरा और @livlawrencex स्नैपचैट सिर्फ अद्भुत हैं👌,Our Snapchat’s are incredibly unattractive 
They should just put a wall around the pitch to stop the ball going out,उन्हें गेंद को बाहर निकलने से रोकने के लिए मैदान के चारों ओर दीवार डालना चाहिए,The ball leaves the pitch a lot  
@32watto Neighbours,@32watto पड़ोसियों,I'd suggest a programme like entourage
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima","मेरे PS4 प्रो पर P.T है, जो कुछ मजेदार है क्योंकि यह PS4 प्रो के रिलीज होने से पहले ही हटा दिया गया था #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",I have managed to transfer PT to my PS4
never drinking again,फिर कभी नहीं पीना,I had a bad experience drinking today 
I reckon I could have put that in the net Morelos sir,मुझे लगता है कि मैं इसे नेट में डाल सकता था Morelos सर,That goal should have been easy for Morelos!
what a great day to be stuck inside 🙃,क्या एक महान दिन अंदर फंसने के लिए ,It's a terrible day to be stuck inside.
Happy birthday to me!! I’m 30! 😭,जन्मदिन मुबारक हो! मैं 30 साल का हूँ!,I'm 30! Id like to wish myself a happy birthday
Every time you complain about neopronouns or xenogenders we add five more,हर बार आप नियोप्रोनोन या एक्सेंजेन्डर के बारे में शिकायत करते हैं हम पांच और जोड़ते हैं,Stop complaining about peoples individual gender experiences
naming my son onickolas in honor of my love for @NICKIMINAJ,@NICKIMINAJ के प्रति मेरे प्यार के सम्मान में मेरे बेटे को Onickolas का नाम देना,Wouldn't it be funny if I named my son Onickolas in honor of Nicki Minaj.
"Enjoy the bars and vineyards✌🏻
Make sure to send postcards to the people dying in your local hospitals.  I’m sure they’ll be glad you’re not bored anymore",बार और अंगूरों का आनंद लें✌🏻 अपने स्थानीय अस्पतालों में मरने वाले लोगों को पोस्टकार्ड भेजना सुनिश्चित करें। मुझे यकीन है कि वे खुश होंगे कि आप अब ऊब नहीं रहे हैं,"If you’re going to bars and vineyards right now, just keep in mind the people who are dying in hospitals from COVID. Your entertainment is not worth their lives. "
@jabadgo @Nibellion Don’t run it on a school-provided laptop,@jabadgo @Nibellion इसे स्कूल द्वारा प्रदान किए गए लैपटॉप पर न चलाएं,Are your computer's specs up to par for the game?
gotta love living in a country where it’s easier to get an AR-15 than it is to get coronavirus testing 😍😝,मुझे एक ऐसे देश में रहना पसंद है जहां कोरोनावायरस की जांच करने की तुलना में एआर-15 लेना आसान है 😍,"When I wrote this tweet, COVID testing was really inaccessible. That has somewhat changed but I was really trying to make a comment about how healthcare is a human right and how poorly our country is handling the pandemic. Owning a military-grade weapon isn't really necessary for human life. While I absolutely believe in the right of the working class to arm themselves (although not with an AR-15...), I just think it's ridiculous the barriers that are put up for people when accessing quality healthcare. I think it's run like a business in this country, and it's immoral."
thinking about how no one is obsessed with me 💔,सोचने के बारे में कैसे कोई भी मेरे साथ जुनून है 💔,"""Thinking about how no one has a crush on me"""
"If the sound of the rain outside wasn’t bad enough I’ve now got my neighbours climbing onto their roof and shouting ‘I love blowjobs’, perfect background noise for me trying to study 👍🏻","अगर बाहर बारिश का शोर काफी बुरा नहीं था तो अब मेरे पड़ोसियों को उनकी छत पर चढ़ना पड़ता है और चिल्लाते हैं मुझे ब्लीव जॉब्स पसंद हैं , अध्ययन करने की कोशिश करने के लिए एकदम सही पृष्ठभूमि शोर 👍🏻",this is the worst background noise to study with.
It was the jerseys,यह टी-शर्ट थे,Theyre embarrassed of their uniforms so theyre playing badly 
"Sooo... @adamlevine was that ""Nice!"" and double fist pump for the show or @shakira s ass that you were checking out? @NBCTheVoice","Sooo... @adamlevine था कि ""Nice!"" और शो के लिए डबल मुट्ठी पंप या @shakira की गधा कि आप बाहर की जाँच कर रहे थे? @NBCTheVoice","""Adam Levine sure was checking out Shakira's ass last night"""
@MarkHendyHR Only joking... keep it real. HR professionals have a life too... 🤔,@MarkHendyHR सिर्फ मजाक कर रहे हैं ... इसे वास्तविक रखें। मानव संसाधन पेशेवरों के पास भी एक जीवन है ... 🤔,Only joking. Keep it real. HR professionals don’t have a life. 
Shaving in the shower without your glasses/contacts is EXACTLY like performing blind surgery 👀🔪,अपने चश्मे/कंटैक्ट्स के बिना स्नान में शेविंग करना बिल्कुल अंधे की सर्जरी करने जैसा है ,Shaving your legs without your glasses/contact lenses is incredibly difficult.
if jesus was resurrected again i would vote for him,यदि यीशु फिर से जी उठे तो मैं उसे वोट दूँगा,Our candidates for president are so bad.
"New levels of desperation: sleep is now truly insignificant to me. In fact, it’s a downright annoyance.","निराशा के नए स्तरः नींद अब मेरे लिए वास्तव में मायने नहीं रखती. वास्तव में, यह बिल्कुल कष्टप्रद है।","New levels of desperation: my lack of sleep is not a joke, in fact it’s a downright annoyance "
"So I have an exam tomorrow, but likeee if the country is about to turn into a war zone does it really matter??","तो मेरे पास कल एक परीक्षा है, लेकिन क्या यह वास्तव में मायने रखता है कि देश युद्ध के क्षेत्र में बदलने वाला है?",I have to take this exam even when the world is falling apart. 
"Absolutely LOVE spider season! I love crying in fear. I love not being able to sleep. I love people telling me that I'm being ridiculous. I love hearing ""it's not gonna hurt ye"". I love using every orange peel, conker and peppermint oil known to man. I love fear. 😑","मुझे डर से रोना पसंद है. मुझे नींद नहीं आ रही है. मुझे पसंद है कि लोग मुझे बताएं कि मैं हास्यास्पद हूं। मुझे पसंद है कि ""यह आपको चोट नहीं पहुंचाएगा"" सुनना पसंद है। मुझे हर नारंगी छील, कॉंकर और मक्खन तेल का उपयोग करना पसंद है जो मनुष्य जानता है। मुझे डर पसंद है। ",That I am now living in fear and hate spidershttps://twitter.com/QueenAtoB/status/1430308715744440322?s=19
Getting a dog was single handedly the best and worst thing I’ve ever done..can’t imagine life without her and I can’t live without her.. Make sense?,एक कुत्ता प्राप्त करने के लिए अकेले सबसे अच्छी और सबसे बुरी बात मैं कभी किया है .. मैं उसके बिना जीवन की कल्पना नहीं कर सकते हैं और मैं उसके बिना नहीं रह सकते ... समझ में आता है?,Getting a dog was the best thing I could’ve ever done. 
cant wait to dance with harry styles and the delta variant at their concert in november!!,नवंबर में उनके संगीत कार्यक्रम में हैरी स्टाइल और डेल्टा वेरिएंट के साथ नृत्य करने के लिए इंतजार नहीं कर सकते!,I am terrified to go to the harry styles concert and be exposed to the delta variant. 
really honoured to have shared a coach today with a group of girls who didn’t know downing street was real and thought the prime minister and the queen lived together at buckingham palace,वास्तव में यह एक सम्मान है कि आज एक कोच साझा करने के लिए लड़कियों के एक समूह के साथ जो नहीं पता था डौनिंग स्ट्रीट वास्तविक था और सोचा था कि प्रधानमंत्री और रानी बकिंघम पैलेस में एक साथ रहते थे,“I dislike sharing a coach with...”
It’s “let’s see how many crumbs I can find in scarf” szn.,यह देखने के लिए है कि मैं शारफ में कितने टुकड़े पा सकता हूँ.,"I hate carrying crumbs in my scarf all day, everyday."
"The best part of going out, is waking up at 2PM the next morning wondering whether you're dead or not and what day it is. 😂😳😀","बाहर निकलने का सबसे अच्छा हिस्सा, अगले दिन दोपहर 2 बजे उठकर यह सोचना है कि क्या आप मृत हैं या नहीं और यह कौन सा दिन है। 😂😳😀","The worst part of going out is waking up the next day, wondering what day it is and if you’re dead."
"Lucky for @JoelEmbiid , only MVPs get tossed for those kinds of fouls #76ers #ATLvsPHI #hawks #NBAPlayoffs","@JoelEmbiid के लिए सौभाग्य से , केवल एमवीपी को ही ऐसी गलतियों के लिए फेंक दिया जाता है #76ers #ATLvsPHI #hawks #NBAPlayoffs",I would say Embiid wasn't good enough to win MVP
"@JasperSmiith @LentonDNRA @ShearerWest @registrarism @UniofNottingham @CllrDaveTrimble @SallyLongford @CllrDavidMellen @LilianGreenwood @MyLWE @MyNottingham Yeah just a coincidence that infection rates go up and down dependent on when students are in the area or not, also tallies in with the parties being attended by up to 3 times the amount of allowed attendees. Definitely not students 🤔🤦🏽‍♀️🙄","@JasperSmiith @LentonDNRA @ShearerWest @registrarism @UniofNottingham @CllrDaveTrimble @SallyLongford @CllrDavidMellen @LilianGreenwood @MyLWE @MyNottingham हाँ यह सिर्फ एक संयोग है कि संक्रमण की दरें ऊपर और नीचे जाती हैं, यह इस बात पर निर्भर करती है कि छात्र क्षेत्र में कब हैं या नहीं, साथ ही पार्टियों में अनुमति प्राप्त दर्शकों की संख्या के 3 गुना तक भाग लेते हैं। निश्चित रूप से छात्र नहीं 🤔 ♀️🙄",Yes there is a link and students are to blame for the rise in covid cases in our area. 
"The most 2020 quote of the year:

Me: we should go to the Van Gogh Museum!
Little Brother: is that the donny with one ear?",वर्ष का सबसे अधिक 2020 उद्धरणः मैंः हमें वान गॉग संग्रहालय जाना चाहिए! छोटा भाईः क्या यह एक कान वाला डोननी है?,My brother referred to Van Gogh as the Donny with one ear.
I’ve always known #Bez is my spirit animal but seeing the mess he makes on @MasterChefUK confirms it 100% what a legend that man is,मैं हमेशा से जानता था कि #Bez मेरा आत्मा जानवर है लेकिन यह देखकर कि वह @MasterChefUK पर गड़बड़ करता है यह 100% पुष्टि करता है कि वह आदमी क्या एक किंवदंती है,Bez might be messy but he's a great chef
"Nothing can be further from the kickoff of the NFL season than a pre-game performance by Ed Sheeran.

Nothing against him but he just doesn't inspire me to watch football.

#Football #NFL #Weak #TestosteroneDeficiency https://t.co/JTI2qgSxUq",एनएफएल सीजन की शुरुआत से आगे कुछ भी नहीं हो सकता है एड शीरन द्वारा गेम से पहले प्रदर्शन से ज्यादा। उसके खिलाफ कुछ भी नहीं है लेकिन वह मुझे फुटबॉल देखने के लिए प्रेरित नहीं करता है। #फुटबॉल #एनएफएल #कमजोरी #टेस्टोस्टेरोन की कमी https://t.co/JTI2qgSxUq,Ed Sheeran should not be the opening act to the launch of the NFL season.
I love when I learn about stuff I've apparently done and said from people😂,मुझे पसंद है जब मैं लोगों से उन चीजों के बारे में सीखता हूं जो मैंने जाहिर तौर पर की हैं और कहा है😂,I absolutely hate when I learn about things I have done from other people. 
@sdeditgirl You should know a true Oregonian doesn't use umbrellas!,@sdeditgirl आपको पता होना चाहिए कि एक सच्चा ओरेगनियन छाता नहीं पहनता है!,"""I really will need an umbrella in Oregon."""
How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?,यह कैसे संभव है कि स्लाई स्टैलून की सबसे अच्छी और सबसे बुरी फिल्म कभी बनाई गई है?,I kind of dislike and like Cobra the movie the same amount!
people who say that they’re allergic to pineapple are pathological liars!!!!!!!,जो लोग कहते हैं कि वे अनानास के प्रति एलर्जी से ग्रस्त हैं वे विकलांग झूठे हैं!!!!!!!,I feel like too many people say that they're allergic to pineapple when they really aren't.
"I love calling my mom early in the morning and waking her up, I take it as pay back for all the times she never let me sleep in 😜","मैं अपनी माँ को सुबह जल्दी फोन करना पसंद करता हूं और उसे जागाना, मैं इसे उन सभी समय के लिए भुगतान के रूप में लेता हूं जब उसने मुझे कभी सोने नहीं दिया 😜",It’s funny how my mom used to wake me now I wake her.
Great night last night! Muggins here is the commis chef crouched down in the corner. Seriously an honour to help raise money for @acf_uk and work alongside these stellar chefs. Thanks for having us @nickg67 @frontlinechef! https://t.co/mkiTEpMzaz https://t.co/SVgdFYHyi4,कल रात बहुत अच्छी रात थी! मुग्स यहाँ कॉमिस शेफ कोने में झुके हुए हैं. @acf_uk के लिए पैसे जुटाने में मदद करने और इन स्टार शेफ के साथ काम करने के लिए गंभीरता से एक सम्मान है। हमें आमंत्रित करने के लिए धन्यवाद @nickg67 @frontlinechef! https://t.co/mkiTEpMzaz https://t.co/SVgdFYHyi4,I worked extremely hard tonight and am crouched down in the corner l. 
@GainzyXBT Actually I've extrapolated based on the last daily candle and it turns out BTC will be sub-zero by December. The math doesn't lie.,@GainzyXBT वास्तव में मैंने पिछले दैनिक मोमबत्ती के आधार पर अनुमान लगाया है और यह पता चला है कि दिसंबर तक बीटीसी शून्य से नीचे होगा। गणित झूठ नहीं बोलता है।,I'm not entirely sure you -can- say the same thing non-sarcastically. I suppose... 'Constantly calling for lower targets is ridiculous.'
"""Should I wear my lime green pants?"" dad its 4th of july...","""क्या मुझे अपनी नींबू की हरी पैंट पहननी चाहिए?",Should I wear my red and blue pants 
How does one find motivation to do basically anything? Asking for a friend.,किसी को कुछ भी करने के लिए प्रेरणा कैसे मिलती है?,"""How does somebody find motivation to do basically anything? I haven't had motivation in ages."""
Sick of being healthy already pissing like a racehorse !! Keep Well hydrated Han 4th litre of water 💧💦,स्वस्थ होने के लिए बीमार पहले से ही एक रेस हॉर्स की तरह पेशाब !! अच्छी तरह से हाइड्रेटेड रख Han 4 लीटर पानी ,"Not enjoying being healthy , going the loo far too many times ."
James Harden is allowed to travel every time he drives apparently,जेम्स हार्डेन को हर बार यात्रा करने की अनुमति है जब वह स्पष्ट रूप से ड्राइव करता है,The refs missed a few traveling calls on James Harden.
South Park being taken off Hulu is the worst thing that’s happened to me personally in 2020 and like.. my dad died,साउथ पार्क को हुलू से ले जाया जा रहा है सबसे बुरी बात है जो व्यक्तिगत रूप से मेरे साथ 2020 में हुई है और जैसे .. मेरे पिताजी की मृत्यु हो गई है,"South Park being taken off Hulu was a bad thing to happen in 2020, but not worse than my dad dying."
do i like him or is his hair just curly??,क्या मैं उसे पसंद करता हूं या उसका बाल सिर्फ घुंघराला है?,People with curly hair are attractive. 
“You’re never going to have a white boyfriend are you Jess” Nah don’t think so Mum,आप कभी भी एक सफेद प्रेमी नहीं होगा क्या आप Jess  ना ऐसा मत सोचो माँ,You’ve had a mixed lot of boyfriends haven’t you?
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,मैं अपने कराओके माइक नहीं मिल सका इसलिए हाँ मैं कहूंगा कि मेरे लिए चीजें अच्छी तरह से चल रही हैं,I'm not doing great mentally right now.
My favorite part about running on the track is seeing how high my heart rate gets just walking up the stairs to it.,ट्रैक पर दौड़ने के बारे में मेरा पसंदीदा हिस्सा यह देखना है कि मेरे दिल की धड़कन कितनी बढ़ जाती है बस सीढ़ियों पर चलते हुए।,My heart rate spiked when I walk up the stairs to the track
Most people have security cameras for protection. Ours acts as a DVR,अधिकांश लोगों के पास सुरक्षा के लिए सुरक्षा कैमरे हैं। हमारा एक डीवीआर के रूप में कार्य करता है,The events that happen around our house while we are not here can be very entertaining 
Is there a zombie apocalypse going on upper street,क्या ऊपरी सड़क पर एक ज़ोंबी अपोकैलिप्स चल रहा है,Why does everyone look so dead on Upper street 
💫jsc bonding nights💫🥰🥳,जेएससी बॉन्डिंग नाइट्स🥰,"I would say ""bonding with the jsc homies""."
tiktok's full name is tictactoetok,टिक्टोक का पूरा नाम टिक्टोएटोक है,Tiktok's name is Tiktok
you ever completely embarrass yourself on zoom and decide to drop out of college?,क्या आपने कभी खुद को ज़ूम पर पूरी तरह शर्मिंदा किया और कॉलेज छोड़ने का फैसला किया?,“I am embarrassed because of what I said in class on Zoom”
thats it im packing my things and moving to italy see u all in a month xo,यह है कि मैं अपने सामानों को पैक कर रहा हूँ और इटली जाने के लिए एक महीने में आप सभी को देखने के लिए,"I'm so done with everyone, I wish I could move away to Italy."
@kashirenaii i would never go to six flags with u,@Kashirenaii मैं आपके साथ कभी भी छह ध्वज पर नहीं जाऊंगा,I would go to Six Flags with you.
next person that puts beomsil on my tl has to deal w me crying on the floor,अगला व्यक्ति जो मेरे टीएल पर बीमसिल डालता है मुझे फर्श पर रोने से निपटना होगा,Stop putting beomsil on my timeline. 
its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth,यह 3:30 बजे है और मैंने फैसला किया है कि एक पुरुष का एकमात्र मुक्त करने वाला गुण यह है कि मैं अपने ठंडे पैर की उंगलियों को उस पर डाल सकता हूं और उसकी गर्मी को लीक कर सकता हूं,I love putting my freezing cold toes on men to leach their warmth.
just met the love of my life don't text,बस मेरे जीवन के प्यार से मिला मत मैसेज,just met this man i have been following for two years. please text me so i can scream about this forever.
bad romance by lady gaga is the best song to ever come out of the american music industry and anyone who says otherwise is a liar,बेड रोमांस लेडी गागा द्वारा अमेरिकी संगीत उद्योग से कभी बाहर आने के लिए सबसे अच्छा गीत है और जो कोई भी अन्यथा कहता है एक झूठ बोलता है,Bad Romance is a bad song
"Well done to the guy who was charging down the stairs at Ealing Broadway and sent me flying, you made me cry.","उस आदमी के लिए अच्छा किया जो ईलिंग ब्रॉडवे में सीढ़ियों से नीचे चढ़ रहा था और मुझे उड़ान भरने के लिए भेजा, आपने मुझे रोने दिया।","Shame on the guy who was charging down the stairs at Ealing Broadway and sent me flying, you made me cry"
Day 3 of night shift: “Can I get a triple shot puppuccinio?”,रात की शिफ्ट का तीसरा दिनः क्या मुझे एक ट्रिपल शॉट पिपपुचिनियो मिल सकता है?,I need 3 shots of coffee
"Funny Quote of the Day: ""I believe in luck: how else can you explain the success of those you dislike?"" - Jean Cocteau","दिन का मजेदार उद्धरणः ""मैं भाग्य में विश्वास करता हूंः आप उन लोगों की सफलता की व्याख्या कैसे कर सकते हैं जिन्हें आप पसंद नहीं करते हैं?"" - जीन कोक्टो",Everyone is allowed good luck no matter if you like them or not.
@trpalomo Those boots must be tasty for how much they're choking on 'em 💀,@trpalomo उन बूटों को स्वादिष्ट होना चाहिए कितना वे उन पर डूब रहे हैं के लिए ,No.
Good morning September... Hello tonsillitis :(,सुप्रभात सितम्बर... हैलो टोंसिलिटिस:,"Good morning Twitter, I just woke up with tonsillitis. Hope I get better soon."
Someone should’ve had me committed the day I decided to buy a pair of non-stretch denim jeans,किसी ने मुझे प्रतिबद्ध किया जाना चाहिए था जिस दिन मैंने एक जोड़ी नॉन-स्ट्रेच डेनिम जीन्स खरीदने का फैसला किया,I hate non-stretch denim jeans. 
"@KellyMartin_UK @Morrisons You’re right, it’s all one big conspiracy. You should boycott the NHS too, they’re in on it as well","@KellyMartin_UK @Morrisons आप सही हैं, यह सब एक बड़ी साजिश है. आपको एनएचएस का भी बहिष्कार करना चाहिए, वे भी इसमें शामिल हैं",If you truly really believe there is a conspiracy you should boycott the NHS too
@SkySportsBoxing if i think you would have a chance against fury i mean its easy for some broken bodied old boy to beat the best in the world,@SkySportsBoxing अगर मुझे लगता है कि आप क्रोध के खिलाफ एक मौका होगा मेरा मतलब है यह आसान है के लिए कुछ टूट शरीर के बूढ़े लड़के दुनिया में सबसे अच्छा हरा करने के लिए,Haye as a competitive fight against fury which is a 50-50 fight and could go either way
Just saw a cop riding a segway?!! So glad my taxes paid for that.,बस एक पुलिसवाला एक सेगवे पर सवार देखा?,I don't approve of my taxes paying for cops to ride segways.
It really bugs me when teachers uncap and recap highlighters three or four times per book when marking - Poor time management! #efficiency,यह वास्तव में मुझे परेशान करता है जब शिक्षक अंकन करते समय प्रति पुस्तक तीन या चार बार हाइलाइटर्स को अनकैप और पुनः सारांशित करते हैं - खराब समय प्रबंधन! # दक्षता,Use the hashtag #wastedtime instead
"""I can't wait to be a piece of shit with a bachelors degree""","""मैं स्नातक की डिग्री के साथ एक बकवास टुकड़ा होने के लिए इंतजार नहीं कर सकता""","Once I get a Bachelor`s degree I will be the same person, just with a slip of paper. "
Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,यह प्यार करता हूँ जब कोई मेरे डेबिट कार्ड के साथ पेरिस में एक £ 175 कॉफी मशीन खरीद 😕,Gutted that someone has used my card to buy a £175 coffee machine.
@RealCandaceO Ok so when does the anger and bitterness start? Just so I can prepare properly…,@RealCandaceO ठीक है तो क्रोध और कड़वाहट कब शुरू होती है?,"I don't believe that this happens to everyone, and it won't happen to me."
"I'm so glad the clocks just went back, I have this whole extra hour of insomnia to play with.","मैं इतना खुश हूँ कि घड़ी अभी वापस चला गया है, मुझे इस पूरे अतिरिक्त घंटे की अनिद्रा के साथ खेलने के लिए है।",If I weren’t insomniac I’d be pleased to have an extra hour.
"Please consider map filters on online mutliplayer. Pretty pls, thanks @CallofDutyUK","कृपया ऑनलाइन mutliplayer पर मानचित्र फ़िल्टर पर विचार करें. बहुत pls, धन्यवाद @CallofDutyUK",I want map filters on COD
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,मुझे एक बड़े पैमाने पर फिल्म के लिए एक रक्तरंजित स्क्रीनिंग निमंत्रण मिला - हाँ कि एक आपका विचार है - और दोनों स्कूली दिनों में स्क्रीनिंग हैं 😭 टीबी पढ़ाना छोड़ने के लिए प्रलोभन में,I would like to go to the film screening if I could
Having morning sickness when you're not actually pregnant is all the fun,जब आप वास्तव में गर्भवती नहीं हैं तो सुबह की बीमारियां होना सबसे मजेदार है,Having morning sickness when you're not actually sick is not fun!
They really said you can’t have nice weather AND no lockdown for your bday this year huh,वे वास्तव में कहा है कि आप अच्छा मौसम नहीं कर सकते हैं और इस साल अपने जन्मदिन के लिए कोई लॉकडाउन नहीं है हह,can't i have nice weather for my birthday even if we're in lockdown?
“it’s hotter in the america right now and it feels fine british people are just being dramatic 🙄” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE ‼️‼️‼️,अमेरिका में अभी ज्यादा गर्मी है और यह अच्छा लगता है ब्रिटिश लोग सिर्फ नाटकीय हो रहे हैं 🙄 त्वरित आप कहते हैं कि इस अंदर अपने एयर कंडीशनिंग हाउस !!️!!️!!️,americans can’t say the heat in england is nothing when they have ac
Just had a flashback about a boy and nearly threw up in my mouth,बस एक लड़के के बारे में एक फ्लैशबैक था और लगभग मेरे मुंह में vomited,Just thought about a boy I used to sleep with and felt uncomfortable.
@Ciara87C @RachaelSmarty @SashaHumphreys2 my tinder convos have been leaked,@Ciara87C @RachaelSmarty @SashaHumphreys2 मेरे टिंडर कॉन्बो लीक हो गए हैं,This man doesn’t like Irish girls which is very different to me.
"Dear @krispykremeUK,

I see your enticing #Thanksgiving offer that ends on 2 Dec.

I wanted to ask if you're aware that #Chanukah starts on 10 Dec, continues for 8 days &amp; that traditional Chanukah fare is actually #DOUGHNUTS ?? 🍩🍩

#justsaying #AskingForAFriend  #opportunity","प्रिय @krispykremeUK, मैं आपके आकर्षक #Thanksgiving ऑफ़र को देखता हूं जो 2 दिसंबर को समाप्त होता है। मैं पूछना चाहता था कि क्या आप जानते हैं कि #Chanukah 10 दिसंबर को शुरू होता है, 8 दिनों तक जारी रहता है &amp; &amp; &amp; कि पारंपरिक Chanukah किराया वास्तव में है #DOUGHNUTS ??  #justsaying #AskingForFriend #opportunity","Dear @krispykremeUK, I note your #Thanksgiving offer that ends on 2 Dec. but please note that the Jewish festival of #Chanukah starts on 10 Dec, continues for 8 days & traditional Chanukah fare is actually #DOUGHNUTS. Please consider a special offer for this, too."
Wow great album from Kanye. v John Cage 4’43 vibes x,वाह महान कैन्य से एल्बम. v जॉन केज 443 वाइब्स x,Kanye needs to actually release his album. 
"Just got in, how’d Liverpool get on?","अभी अंदर आया, लिवरपूल कैसे चल रहा है?",Liverpool did not play very well.
Actually considering applying for the undateables,वास्तव में अनिर्धारित के लिए आवेदन करने पर विचार कर रहा है,Why is my lovelife so dead?
"@JoeTalkShow @EdwardNorton Get ratioed, then tell us more about the ""hate-filled left,"" especially about how the Republicans and independents who voted for Biden are somehow part of that group 🤣","@JoeTalkShow @EdwardNorton अनुपात प्राप्त करें, फिर हमें ""द्वेष से भरे वामपंथ"" के बारे में अधिक बताएं, विशेष रूप से इस बारे में कि कैसे रिपब्लिकन और स्वतंत्र जो बिडेन के लिए मतदान करते हैं वे किसी तरह उस समूह का हिस्सा हैं 🤣","""Biden is a liberal, not a leftist. Liberals are center-right. People who voted for Biden came from everywhere on the political spectrum, including conservatives and independents, so stop trying the blame some imaginary 'hate-filled left.'"""
"thank you kind person that stole my ATM card, you must have known I wanted to sit at the bank all day.. half hour and still waiting #mondays","धन्यवाद दयालु व्यक्ति जिसने मेरा एटीएम कार्ड चुरा लिया, आपको पता होना चाहिए था कि मैं पूरे दिन बैंक में बैठना चाहता था.. आधे घंटे और अभी भी # सोमवार का इंतजार कर रहा था",Someone stole my bank card and now I have to sit and wait in the bank all day unhappily.
So excited to start this job!😊,इस काम को शुरू करने के लिए बहुत उत्साहित!😊,I’m not exciting to start this job
"Maybe if we didn’t comment on things that don’t concern us, the world would be a happier place?? But what do I know🤷🏻‍♀️","शायद अगर हम उन चीजों पर टिप्पणी नहीं करते जो हमें चिंतित नहीं करतीं, तो दुनिया एक और खुशहाल जगह होगी? लेकिन मुझे क्या पता🏻 ♀️",I know the work would be happier if we all stopped commenting on things that don’t concern us 
"dad: ""are ya sending any of those boys from 5soz (wtf is a 5soz dad) a valentines gift?"" 
me: yes dad yes i am cuz im dating all of them duh","पिताः ""क्या आप उन लड़कों में से किसी को भेज रहे हैं 5soz (WTF एक 5soz पिता) एक वेलेंटाइन उपहार?",im not dating any of them
"I just read, ""oftenly"" and threw up in my mouth a little.","मैं सिर्फ पढ़ा, ""अक्सर"" और मेरे मुंह में थोड़ा vomited.","I would point out ""oftenly"" is not a word in the English language. I would explain the grammar and correct the weird to often"
"I unsubscribe from being an adult, its not for me","मैं एक वयस्क होने से सदस्यता रद्द, यह मेरे लिए नहीं है",being an adult is really hard 
i love siriusxm. siriusxm is my friend,मैं सिरियसएक्सएम से प्यार करता हूँ . सिरियसएक्सएम मेरा दोस्त है,I hate SiriusXM
"A whole 2% off for a single order, rejoice","एक आदेश के लिए एक पूरे 2% छूट, आनन्दित",2% off of single order is a basically useless coupon.
Can’t wait to see Ed sheeran at tramlines tomoz x,ट्रामलाइनों में एड शेरन को देखने के लिए इंतजार नहीं कर सकता,Ed Sheeran isn't at Tramlines and I'm glad about it
"@kirkkorner ""But it's a deterrent"" 🙄","@kirkkorner ""लेकिन यह एक निवारक है"" 🙄",Making 'theft of a dog' a new offense in English law is definitely not an effective deterrent to potential dog thieves
