original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
local man dies following short battle with gas leak explosion,,गैस रिसाव विस्फोट के बाद एक स्थानीय व्यक्ति की मौत हो गई,घर में लगी आग से बुजुर्ग की जलकर मौत,0.64976287
report: iran less than 10 years away from 2016,,रिपोर्टः ईरान 2016 से 10 साल से भी कम दूर है,कोरोना से भारत को अन्य देशों की तुलना में कम नुकसान,0.6240428
man could see himself spending rest of life with image of woman in head,,पुरुष अपने जीवन के बाकी हिस्सों में महिला की छवि के साथ खुद को देख सकता है,यहां हम बता रहे हैं कि एक पुरुष की जिंदगी में अलग-अलग महिलाओं को उसकी मृत्यु पर संपत्ति में कैसे हिस्सा मिल सकता है।,0.6181555
north korea tests out new knife in smaller escalation of threats to u.s.,,उत्तर कोरिया ने अमेरिका के लिए खतरों को कम करने के लिए नई चाकू का परीक्षण किया।,शुक्रवार को ट्रंप ने कहा था कि उन्हें इस बात से निराशा है कि उत्तर कोरिया फिर से हथियारों का परीक्षण करने शुरु करेगा.,0.6727825
man dies all by himself,,मनुष्य अपने आप मर जाता है,आत्मके्द्रिरत होते हैं पुरुष,0.6901693
north korea nukes self in desperate plea for attention,,उत्तर कोरिया ने खुद को परमाणु हथियारों से नष्ट कर दिया है।,अमेरिकी राष्ट्रपति डोनाल्ड ट्रंप ने कहा है कि उत्तर कोरिया अपने सभी परमाणु परीक्षण स्थलों को खत्म करने पर काम कर रहा है।,0.69123197
new facebook feature allows user to cancel account,,नई फेसबुक सुविधा उपयोगकर्ता खाता रद्द करने के लिए अनुमति देता है,डेस्क : आये दिन फेसबुक अपने फिचर में कुछ न कुछ नया ला रहा है अभी हाल ही में आप को बता दें की लाइक काउंट हाइड करने का फैसला किया है और अब फोटो अपलोड करने पर चेहरा पहचानने वाले अपने उस सॉफ्टवेयर का प्रयोग बंद करने का फैसला भी ले लिया है जो यूजर्स को ‘टैग’ संबंधी सुझाव देता था. फेसबुक ने बताया कि वह ‘टैग’ संबंधी सुझाव देने वाली सेवा के बजाए चेहरा पहचानने वाली ऐसी सैटिंग मुहैया करा रहा है जो केवल टैग करने के लिए ही नहीं बल्कि विभिन्न इस्तेमाल के लिए फोटो में लोगों का चेहरा पहचानती है.,0.6364126
college professor reminds students it will take a few classes to memorize everyone's triggers,,कॉलेज के प्रोफेसर छात्रों को याद दिलाता है कि सभी के ट्रिगर को याद करने के लिए कुछ कक्षाओं की आवश्यकता होगी,कॉलेजों को टेक्नोफ्रेंडली बनाने को प्रोफेसरों की लगेगी क्लास,0.628707
area man released after being wrongfully employed for 9 years,,9 साल तक अवैध रूप से काम पर रहने के बाद क्षेत्र के एक व्यक्ति को रिहा कर दिया गया,अच्छे आचरण की वजह से 2016 में उसे जेल रिहा कर दिया गया था,0.62417394
god pissed solar eclipse not visible from heaven,,ईश्वर ने सूर्य ग्रहण को स्वर्ग से दिखाई नहीं दिया,"ईश्वर है-नहीं है,",0.6030294
report: majority of married people get up and go to second family's house as soon as spouse asleep,,रिपोर्ट: अधिकांश विवाहित लोग उठकर दूसरे परिवार के घर जाते हैं जैसे ही पति-पत्नी सो जाते हैं।,ज्योतिष शास्त्र के अनुसार जिस तरह घर में नए सदस्य के आने की खबर मिलने पर हम मनुष्य उत्साहित रहते हैं और उनके स्वागत की तैयारी करते हैं। कुछ इसी तरह जब कोई व्यक्ति संसार को छोड़कर परलोक की यात्रा पर जाने वाला होता है तो परलोक गए उनके पूर्वज और आत्माएं उत्साहित रहते हैं और अपनी दुनिया में नए सदस्य के आने की खुशी में रहते हैं।,0.61913633
miss america called before u.n. council for not promoting enough world peace,,मिस अमेरिका ने विश्व शांति को बढ़ावा नहीं देने के लिए संयुक्त राष्ट्र परिषद के समक्ष बुलाया,Home » दुनिया » अमेरिका ने म्यांमा से की भीड़ पर फॉस्फोरस का इस्तेमाल नहीं करने की अपील,0.6200479
